FEDUID,ENNAME,FRNAME,PRUID,PRNAME,MS_FB,MS_FB_PARE,WIKIDATA
10001,Avalon,Avalon,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10001-2013,country:ca/province:nl,Q2873260
10002,Bonavista—Burin—Trinity,Bonavista—Burin—Trinity,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10002-2013,country:ca/province:nl,Q16844235
10003,Coast of Bays—Central—Notre Dame,Coast of Bays—Central—Notre Dame,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10003-2013,country:ca/province:nl,Q16949517
10004,Labrador,Labrador,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10004-2013,country:ca/province:nl,Q3214536
10005,Long Range Mountains,Long Range Mountains,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10005-2013,country:ca/province:nl,Q16990299
10006,St. John's East,St. John's-Est,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10006-2013,country:ca/province:nl,Q3495268
10007,St. John's South—Mount Pearl,St. John's-Sud—Mount Pearl,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10007-2013,country:ca/province:nl,Q3495269
11001,Cardigan,Cardigan,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11001-2013,country:ca/province:pe,Q2938039
11002,Charlottetown,Charlottetown,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11002-2013,country:ca/province:pe,Q2961057
11003,Egmont,Egmont,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11003-2013,country:ca/province:pe,Q3049209
11004,Malpeque,Malpeque,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11004-2013,country:ca/province:pe,Q513772
12001,Cape Breton—Canso,Cape Breton—Canso,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12001-2013,country:ca/province:ns,Q2937241
12002,Central Nova,Nova-Centre,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12002-2013,country:ca/province:ns,Q3345304
12003,Cumberland—Colchester,Cumberland—Colchester,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12003-2013,country:ca/province:ns,Q3007524
12004,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12004-2013,country:ca/province:ns,Q3016601
12005,Halifax,Halifax,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12005-2013,country:ca/province:ns,Q2604650
12006,Halifax West,Halifax-Ouest,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12006-2013,country:ca/province:ns,Q3125968
12007,Kings—Hants,Kings—Hants,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12007-2013,country:ca/province:ns,Q3197141
12008,Sackville—Preston—Chezzetcook,Sackville—Preston—Chezzetcook,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12008-2013,country:ca/province:ns,Q3460955
12009,South Shore—St. Margarets,South Shore—St. Margarets,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12009-2013,country:ca/province:ns,Q3492274
12010,Sydney—Victoria,Sydney—Victoria,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12010-2013,country:ca/province:ns,Q3506854
12011,West Nova,Nova-Ouest,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12011-2013,country:ca/province:ns,Q3345310
13001,Acadie—Bathurst,Acadie—Bathurst,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13001-2013,country:ca/province:nb,Q2822240
13002,Beauséjour,Beauséjour,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13002-2013,country:ca/province:nb,Q2893293
13003,Fredericton,Fredericton,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13003-2013,country:ca/province:nb,Q3087204
13004,Fundy Royal,Fundy Royal,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13004-2013,country:ca/province:nb,Q267073
13005,Madawaska—Restigouche,Madawaska—Restigouche,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13005-2013,country:ca/province:nb,Q3275454
13006,Miramichi—Grand Lake,Miramichi—Grand Lake,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13006-2013,country:ca/province:nb,Q17000012
13007,Moncton—Riverview—Dieppe,Moncton—Riverview—Dieppe,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13007-2013,country:ca/province:nb,Q3320478
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13008-2013,country:ca/province:nb,Q3345015
13009,Saint John—Rothesay,Saint John—Rothesay,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13009-2013,country:ca/province:nb,Q16979314
13010,Tobique—Mactaquac,Tobique—Mactaquac,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13010-2013,country:ca/province:nb,Q614586
24001,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou,24,Quebec / Québec,country:ca/ed:24001-2013,country:ca/province:qc,Q2821651
24002,Abitibi—Témiscamingue,Abitibi—Témiscamingue,24,Quebec / Québec,country:ca/ed:24002-2013,country:ca/province:qc,Q2821652
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,24,Quebec / Québec,country:ca/ed:24003-2013,country:ca/province:qc,Q16826254
24004,Alfred-Pellan,Alfred-Pellan,24,Quebec / Québec,country:ca/ed:24004-2013,country:ca/province:qc,Q2834924
24005,Argenteuil—La Petite-Nation,Argenteuil—La Petite-Nation,24,Quebec / Québec,country:ca/ed:24005-2013,country:ca/province:qc,Q16833613
24006,Avignon—La Mitis—Matane—Matapédia,Avignon—La Mitis—Matane—Matapédia,24,Quebec / Québec,country:ca/ed:24006-2013,country:ca/province:qc,Q16836105
24007,Beauce,Beauce,24,Quebec / Québec,country:ca/ed:24007-2013,country:ca/province:qc,Q2893126
24008,Beauport—Limoilou,Beauport—Limoilou,24,Quebec / Québec,country:ca/ed:24008-2013,country:ca/province:qc,Q2893257
24009,Bécancour—Nicolet—Saurel,Bécancour—Nicolet—Saurel,24,Quebec / Québec,country:ca/ed:24009-2013,country:ca/province:qc,Q2886296
24010,Bellechasse—Les Etchemins—Lévis,Bellechasse—Les Etchemins—Lévis,24,Quebec / Québec,country:ca/ed:24010-2013,country:ca/province:qc,Q3272022
24011,Beloeil—Chambly,Beloeil—Chambly,24,Quebec / Québec,country:ca/ed:24011-2013,country:ca/province:qc,Q16840121
24012,Berthier—Maskinongé,Berthier—Maskinongé,24,Quebec / Québec,country:ca/ed:24012-2013,country:ca/province:qc,Q2899323
24013,Thérèse-De Blainville,Thérèse-De Blainville,24,Quebec / Québec,country:ca/ed:24013-2013,country:ca/province:qc,Q16842973
24014,Pierre-Boucher—Les Patriotes—Verchères,Pierre-Boucher—Les Patriotes—Verchères,24,Quebec / Québec,country:ca/ed:24014-2013,country:ca/province:qc,Q16845155
24015,Bourassa,Bourassa,24,Quebec / Québec,country:ca/ed:24015-2013,country:ca/province:qc,Q2922232
24016,Brome—Missisquoi,Brome—Missisquoi,24,Quebec / Québec,country:ca/ed:24016-2013,country:ca/province:qc,Q2926009
24017,Brossard—Saint-Lambert,Brossard—Saint-Lambert,24,Quebec / Québec,country:ca/ed:24017-2013,country:ca/province:qc,Q16847474
24018,Rimouski-Neigette—Témiscouata—Les Basques,Rimouski-Neigette—Témiscouata—Les Basques,24,Quebec / Québec,country:ca/ed:24018-2013,country:ca/province:qc,Q3432128
24019,Charlesbourg—Haute-Saint-Charles,Charlesbourg—Haute-Saint-Charles,24,Quebec / Québec,country:ca/ed:24019-2013,country:ca/province:qc,Q429015
24020,Beauport—Côte-de-Beaupré—Île dOrléans—Charlevoix,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,24,Quebec / Québec,country:ca/ed:24020-2013,country:ca/province:qc,Q528161
24021,Châteauguay—Lacolle,Châteauguay—Lacolle,24,Quebec / Québec,country:ca/ed:24021-2013,country:ca/province:qc,Q16961180
24022,Chicoutimi—Le Fjord,Chicoutimi—Le Fjord,24,Quebec / Québec,country:ca/ed:24022-2013,country:ca/province:qc,Q2963421
24023,Compton—Stanstead,Compton—Stanstead,24,Quebec / Québec,country:ca/ed:24023-2013,country:ca/province:qc,Q2990889
24024,Dorval—Lachine—LaSalle,Dorval—Lachine—LaSalle,24,Quebec / Québec,country:ca/ed:24024-2013,country:ca/province:qc,Q16962445
24025,Drummond,Drummond,24,Quebec / Québec,country:ca/ed:24025-2013,country:ca/province:qc,Q3040119
24026,Gaspésie—Les Îles-de-la-Madeleine,Gaspésie—Les Îles-de-la-Madeleine,24,Quebec / Québec,country:ca/ed:24026-2013,country:ca/province:qc,Q3098861
24027,Gatineau,Gatineau,24,Quebec / Québec,country:ca/ed:24027-2013,country:ca/province:qc,Q693762
24028,Hochelaga,Hochelaga,24,Quebec / Québec,country:ca/ed:24028-2013,country:ca/province:qc,Q3138926
24029,Honoré-Mercier,Honoré-Mercier,24,Quebec / Québec,country:ca/ed:24029-2013,country:ca/province:qc,Q3140203
24030,Hull—Aylmer,Hull—Aylmer,24,Quebec / Québec,country:ca/ed:24030-2013,country:ca/province:qc,Q3143028
24031,Joliette,Joliette,24,Quebec / Québec,country:ca/ed:24031-2013,country:ca/province:qc,Q3183138
24032,Jonquière,Jonquière,24,Quebec / Québec,country:ca/ed:24032-2013,country:ca/province:qc,Q3183620
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,24,Quebec / Québec,country:ca/ed:24033-2013,country:ca/province:qc,Q3211775
24034,La Prairie,La Prairie,24,Quebec / Québec,country:ca/ed:24034-2013,country:ca/province:qc,Q3217787
24035,Lac-Saint-Jean,Lac-Saint-Jean,24,Quebec / Québec,country:ca/ed:24035-2013,country:ca/province:qc,Q3214650
24036,Lac-Saint-Louis,Lac-Saint-Louis,24,Quebec / Québec,country:ca/ed:24036-2013,country:ca/province:qc,Q3214654
24037,LaSalle—Émard—Verdun,LaSalle—Émard—Verdun,24,Quebec / Québec,country:ca/ed:24037-2013,country:ca/province:qc,Q16979970
24038,Laurentides—Labelle,Laurentides—Labelle,24,Quebec / Québec,country:ca/ed:24038-2013,country:ca/province:qc,Q3219613
24039,Laurier—Sainte-Marie,Laurier—Sainte-Marie,24,Quebec / Québec,country:ca/ed:24039-2013,country:ca/province:qc,Q3219676
24040,Laval—Les Îles,Laval—Les Îles,24,Quebec / Québec,country:ca/ed:24040-2013,country:ca/province:qc,Q3219763
24041,Longueuil—Charles-LeMoyne,Longueuil—Charles-Lemoyne,24,Quebec / Québec,country:ca/ed:24041-2013,country:ca/province:qc,Q16979600
24042,Lévis—Lotbinière,Lévis—Lotbinière,24,Quebec / Québec,country:ca/ed:24042-2013,country:ca/province:qc,Q3259970
24043,Longueuil—Saint-Hubert,Longueuil—Saint-Hubert,24,Quebec / Québec,country:ca/ed:24043-2013,country:ca/province:qc,Q21027519
24044,Louis-Hébert,Louis-Hébert,24,Quebec / Québec,country:ca/ed:24044-2013,country:ca/province:qc,Q3260598
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,24,Quebec / Québec,country:ca/ed:24045-2013,country:ca/province:qc,Q3260876
24046,Manicouagan,Manicouagan,24,Quebec / Québec,country:ca/ed:24046-2013,country:ca/province:qc,Q3285881
24047,Mégantic—L'Érable,Mégantic—L'Érable,24,Quebec / Québec,country:ca/ed:24047-2013,country:ca/province:qc,Q3332796
24048,Mirabel,Mirabel,24,Quebec / Québec,country:ca/ed:24048-2013,country:ca/province:qc,Q16999883
24049,Montarville,Montarville,24,Quebec / Québec,country:ca/ed:24049-2013,country:ca/province:qc,Q16977815
24050,Montcalm,Montcalm,24,Quebec / Québec,country:ca/ed:24050-2013,country:ca/province:qc,Q3322478
24051,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,24,Quebec / Québec,country:ca/ed:24051-2013,country:ca/province:qc,Q3322832
24052,Mount Royal,Mont-Royal,24,Quebec / Québec,country:ca/ed:24052-2013,country:ca/province:qc,Q3321616
24053,Notre-Dame-de-Grâce—Westmount,Notre-Dame-de-Grâce—Westmount,24,Quebec / Québec,country:ca/ed:24053-2013,country:ca/province:qc,Q17044892
24054,Outremont,Outremont,24,Quebec / Québec,country:ca/ed:24054-2013,country:ca/province:qc,Q3358662
24055,Papineau,Papineau,24,Quebec / Québec,country:ca/ed:24055-2013,country:ca/province:qc,Q3362910
24056,Pierrefonds—Dollard,Pierrefonds—Dollard,24,Quebec / Québec,country:ca/ed:24056-2013,country:ca/province:qc,Q600123
24057,Pontiac,Pontiac,24,Quebec / Québec,country:ca/ed:24057-2013,country:ca/province:qc,Q3397734
24058,Portneuf—Jacques-Cartier,Portneuf—Jacques-Cartier,24,Quebec / Québec,country:ca/ed:24058-2013,country:ca/province:qc,Q3399336
24059,Québec,Québec,24,Quebec / Québec,country:ca/ed:24059-2013,country:ca/province:qc,Q3414825
24060,Repentigny,Repentigny,24,Quebec / Québec,country:ca/ed:24060-2013,country:ca/province:qc,Q3427232
24061,Richmond—Arthabaska,Richmond—Arthabaska,24,Quebec / Québec,country:ca/ed:24061-2013,country:ca/province:qc,Q3431483
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,24,Quebec / Québec,country:ca/ed:24062-2013,country:ca/province:qc,Q3433602
24063,Rivière-du-Nord,Rivière-du-Nord,24,Quebec / Québec,country:ca/ed:24063-2013,country:ca/province:qc,Q428070
24064,Rosemont—La Petite-Patrie,Rosemont—La Petite-Patrie,24,Quebec / Québec,country:ca/ed:24064-2013,country:ca/province:qc,Q7368487
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,24,Quebec / Québec,country:ca/ed:24065-2013,country:ca/province:qc,Q3287683
24066,Saint-Hyacinthe—Bagot,Saint-Hyacinthe—Bagot,24,Quebec / Québec,country:ca/ed:24066-2013,country:ca/province:qc,Q3462434
24067,Saint-Jean,Saint-Jean,24,Quebec / Québec,country:ca/ed:24067-2013,country:ca/province:qc,Q3462577
24068,Saint-Laurent,Saint-Laurent,24,Quebec / Québec,country:ca/ed:24068-2013,country:ca/province:qc,Q3462729
24069,Saint-Léonard—Saint-Michel,Saint-Léonard—Saint-Michel,24,Quebec / Québec,country:ca/ed:24069-2013,country:ca/province:qc,Q3462835
24070,Saint-Maurice—Champlain,Saint-Maurice—Champlain,24,Quebec / Québec,country:ca/ed:24070-2013,country:ca/province:qc,Q3462967
24071,Salaberry—Suroît,Salaberry—Suroît,24,Quebec / Québec,country:ca/ed:24071-2013,country:ca/province:qc,Q16999438
24072,Shefford,Shefford,24,Quebec / Québec,country:ca/ed:24072-2013,country:ca/province:qc,Q3481722
24073,Sherbrooke,Sherbrooke,24,Quebec / Québec,country:ca/ed:24073-2013,country:ca/province:qc,Q3481910
24074,Vaudreuil—Soulanges,Vaudreuil—Soulanges,24,Quebec / Québec,country:ca/ed:24074-2013,country:ca/province:qc,Q3555066
24075,Terrebonne,Terrebonne,24,Quebec / Québec,country:ca/ed:24075-2013,country:ca/province:qc,Q25246025
24076,Trois-Rivières,Trois-Rivières,24,Quebec / Québec,country:ca/ed:24076-2013,country:ca/province:qc,Q3539914
24077,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Ville-Marie—Le Sud-Ouest—Île-des-Surs,24,Quebec / Québec,country:ca/ed:24077-2013,country:ca/province:qc,Q16977201
24078,Vimy,Vimy,24,Quebec / Québec,country:ca/ed:24078-2013,country:ca/province:qc,Q16978570
35001,Ajax,Ajax,35,Ontario,country:ca/ed:35001-2013,country:ca/province:on,Q16960528
35002,Algoma—Manitoulin—Kapuskasing,Algoma—Manitoulin—Kapuskasing,35,Ontario,country:ca/ed:35002-2013,country:ca/province:on,Q2835750
35003,Aurora—Oak Ridges—Richmond Hill,Aurora—Oak Ridges—Richmond Hill,35,Ontario,country:ca/ed:35003-2013,country:ca/province:on,Q16949447
35004,Barrie—Innisfil,Barrie—Innisfil,35,Ontario,country:ca/ed:35004-2013,country:ca/province:on,Q16950434
35005,Barrie—Springwater—Oro-Medonte,Barrie—Springwater—Oro-Medonte,35,Ontario,country:ca/ed:35005-2013,country:ca/province:on,Q16950439
35006,Bay of Quinte,Baie de Quinte,35,Ontario,country:ca/ed:35006-2013,country:ca/province:on,Q16950737
35007,Beaches—East York,Beaches—East York,35,Ontario,country:ca/ed:35007-2013,country:ca/province:on,Q2892787
35008,Brampton Centre,Brampton-Centre,35,Ontario,country:ca/ed:35008-2013,country:ca/province:on,Q2923648
35009,Brampton East,Brampton-Est,35,Ontario,country:ca/ed:35009-2013,country:ca/province:on,Q16953382
35010,Brampton North,Brampton-Nord,35,Ontario,country:ca/ed:35010-2013,country:ca/province:on,Q16953394
35011,Brampton South,Brampton-Sud,35,Ontario,country:ca/ed:35011-2013,country:ca/province:on,Q16966835
35012,Brampton West,Brampton-Ouest,35,Ontario,country:ca/ed:35012-2013,country:ca/province:on,Q2923649
35013,Brantford—Brant,Brantford—Brant,35,Ontario,country:ca/ed:35013-2013,country:ca/province:on,Q2923856
35014,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound,35,Ontario,country:ca/ed:35014-2013,country:ca/province:on,Q2926493
35015,Burlington,Burlington,35,Ontario,country:ca/ed:35015-2013,country:ca/province:on,Q774538
35016,Cambridge,Cambridge,35,Ontario,country:ca/ed:35016-2013,country:ca/province:on,Q2934691
35017,Chatham-Kent—Leamington,Chatham-Kent—Leamington,35,Ontario,country:ca/ed:35017-2013,country:ca/province:on,Q16961184
35018,Davenport,Davenport,35,Ontario,country:ca/ed:35018-2013,country:ca/province:on,Q3017300
35019,Don Valley East,Don Valley-Est,35,Ontario,country:ca/ed:35019-2013,country:ca/province:on,Q3035922
35020,Don Valley North,Don Valley-Nord,35,Ontario,country:ca/ed:35020-2013,country:ca/province:on,Q3035923
35021,Don Valley West,Don Valley-Ouest,35,Ontario,country:ca/ed:35021-2013,country:ca/province:on,Q3035926
35022,Dufferin—Caledon,Dufferin—Caledon,35,Ontario,country:ca/ed:35022-2013,country:ca/province:on,Q602263
35023,Durham,Durham,35,Ontario,country:ca/ed:35023-2013,country:ca/province:on,Q2390150
35024,Eglinton—Lawrence,Eglinton—Lawrence,35,Ontario,country:ca/ed:35024-2013,country:ca/province:on,Q3049206
35025,Elgin—Middlesex—London,Elgin—Middlesex—London,35,Ontario,country:ca/ed:35025-2013,country:ca/province:on,Q3050861
35026,Essex,Essex,35,Ontario,country:ca/ed:35026-2013,country:ca/province:on,Q3058748
35027,Etobicoke Centre,Etobicoke-Centre,35,Ontario,country:ca/ed:35027-2013,country:ca/province:on,Q3059353
35028,Etobicoke—Lakeshore,Etobicoke—Lakeshore,35,Ontario,country:ca/ed:35028-2013,country:ca/province:on,Q3059361
35029,Etobicoke North,Etobicoke-Nord,35,Ontario,country:ca/ed:35029-2013,country:ca/province:on,Q3059355
35030,Flamborough—Glanbrook,Flamborough—Glanbrook,35,Ontario,country:ca/ed:35030-2013,country:ca/province:on,Q16978840
35031,Glengarry—Prescott—Russell,Glengarry—Prescott—Russell,35,Ontario,country:ca/ed:35031-2013,country:ca/province:on,Q3108745
35032,Guelph,Guelph,35,Ontario,country:ca/ed:35032-2013,country:ca/province:on,Q3118872
35033,Haldimand—Norfolk,Haldimand—Norfolk,35,Ontario,country:ca/ed:35033-2013,country:ca/province:on,Q5641291
35034,Haliburton—Kawartha Lakes—Brock,Haliburton—Kawartha Lakes—Brock,35,Ontario,country:ca/ed:35034-2013,country:ca/province:on,Q3125962
35035,Hamilton Centre,Hamilton-Centre,35,Ontario,country:ca/ed:35035-2013,country:ca/province:on,Q3126446
35036,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek,35,Ontario,country:ca/ed:35036-2013,country:ca/province:on,Q3126448
35037,Hamilton Mountain,Hamilton Mountain,35,Ontario,country:ca/ed:35037-2013,country:ca/province:on,Q3126460
35038,Hamilton West—Ancaster—Dundas,Hamilton-Ouest—Ancaster—Dundas,35,Ontario,country:ca/ed:35038-2013,country:ca/province:on,Q16979665
35039,Hastings—Lennox and Addington,Hastings—Lennox and Addington,35,Ontario,country:ca/ed:35039-2013,country:ca/province:on,Q16979735
35040,Huron—Bruce,Huron—Bruce,35,Ontario,country:ca/ed:35040-2013,country:ca/province:on,Q290779
35041,Kanata—Carleton,Kanata—Carleton,35,Ontario,country:ca/ed:35041-2013,country:ca/province:on,Q17088451
35042,Kenora,Kenora,35,Ontario,country:ca/ed:35042-2013,country:ca/province:on,Q3195247
35043,King—Vaughan,King—Vaughan,35,Ontario,country:ca/ed:35043-2013,country:ca/province:on,Q16977204
35044,Kingston and the Islands,Kingston et les Îles,35,Ontario,country:ca/ed:35044-2013,country:ca/province:on,Q3197139
35045,Kitchener Centre,Kitchener-Centre,35,Ontario,country:ca/ed:35045-2013,country:ca/province:on,Q3197575
35046,Kitchener—Conestoga,Kitchener—Conestoga,35,Ontario,country:ca/ed:35046-2013,country:ca/province:on,Q3197577
35047,Kitchener South—Hespeler,Kitchener-Sud—Hespeler,35,Ontario,country:ca/ed:35047-2013,country:ca/province:on,Q16979185
35048,Lambton—Kent—Middlesex,Lambton—Kent—Middlesex,35,Ontario,country:ca/ed:35048-2013,country:ca/province:on,Q3216699
35049,Lanark—Frontenac—Kingston,Lanark—Frontenac—Kingston,35,Ontario,country:ca/ed:35049-2013,country:ca/province:on,Q16976721
35050,Leeds—Grenville—Thousand Islands and Rideau Lakes,Leeds—Grenville—Thousand Islands et Rideau Lakes,35,Ontario,country:ca/ed:35050-2013,country:ca/province:on,Q581570
35051,London—Fanshawe,London—Fanshawe,35,Ontario,country:ca/ed:35051-2013,country:ca/province:on,Q3258986
35052,London North Centre,London-Centre-Nord,35,Ontario,country:ca/ed:35052-2013,country:ca/province:on,Q3258929
35053,London West,London-Ouest,35,Ontario,country:ca/ed:35053-2013,country:ca/province:on,Q3258933
35054,Markham—Stouffville,Markham—Stouffville,35,Ontario,country:ca/ed:35054-2013,country:ca/province:on,Q16977352
35055,Markham—Thornhill,Markham—Thornhill,35,Ontario,country:ca/ed:35055-2013,country:ca/province:on,Q16977883
35056,Markham—Unionville,Markham—Unionville,35,Ontario,country:ca/ed:35056-2013,country:ca/province:on,Q3294346
35057,Milton,Milton,35,Ontario,country:ca/ed:35057-2013,country:ca/province:on,Q16969295
35058,Mississauga Centre,Mississauga-Centre,35,Ontario,country:ca/ed:35058-2013,country:ca/province:on,Q975611
