FEDUID,ENNAME,FRNAME,PRUID,PRNAME,MS_FB,MS_FB_PARE,WIKIDATA
35059,Mississauga East—Cooksville,Mississauga-Est—Cooksville,35,Ontario,country:ca/ed:35059-2013,country:ca/province:on,Q3316906
35060,Mississauga—Erin Mills,Mississauga—Erin Mills,35,Ontario,country:ca/ed:35060-2013,country:ca/province:on,Q16976696
35061,Mississauga—Lakeshore,Mississauga—Lakeshore,35,Ontario,country:ca/ed:35061-2013,country:ca/province:on,Q3316911
35062,Mississauga—Malton,Mississauga—Malton,35,Ontario,country:ca/ed:35062-2013,country:ca/province:on,Q16977742
35063,Mississauga—Streetsville,Mississauga—Streetsville,35,Ontario,country:ca/ed:35063-2013,country:ca/province:on,Q3316916
35064,Nepean,Nepean,35,Ontario,country:ca/ed:35064-2013,country:ca/province:on,Q3338266
35065,Newmarket—Aurora,Newmarket—Aurora,35,Ontario,country:ca/ed:35065-2013,country:ca/province:on,Q3339132
35066,Niagara Centre,Niagara-Centre,35,Ontario,country:ca/ed:35066-2013,country:ca/province:on,Q3339428
35067,Niagara Falls,Niagara Falls,35,Ontario,country:ca/ed:35067-2013,country:ca/province:on,Q3339434
35068,Niagara West,Niagara-Ouest,35,Ontario,country:ca/ed:35068-2013,country:ca/province:on,Q16977205
35069,Nickel Belt,Nickel Belt,35,Ontario,country:ca/ed:35069-2013,country:ca/province:on,Q3339824
35070,Nipissing—Timiskaming,Nipissing—Timiskaming,35,Ontario,country:ca/ed:35070-2013,country:ca/province:on,Q3342105
35071,Northumberland—Peterborough South,Northumberland—Peterborough-Sud,35,Ontario,country:ca/ed:35071-2013,country:ca/province:on,Q16977243
35072,Oakville,Oakville,35,Ontario,country:ca/ed:35072-2013,country:ca/province:on,Q14875369
35073,Oakville North—Burlington,Oakville-Nord—Burlington,35,Ontario,country:ca/ed:35073-2013,country:ca/province:on,Q17092100
35074,Oshawa,Oshawa,35,Ontario,country:ca/ed:35074-2013,country:ca/province:on,Q3357223
35075,Ottawa Centre,Ottawa-Centre,35,Ontario,country:ca/ed:35075-2013,country:ca/province:on,Q3357743
35076,Orléans,Orléans,35,Ontario,country:ca/ed:35076-2013,country:ca/province:on,Q3357764
35077,Ottawa South,Ottawa-Sud,35,Ontario,country:ca/ed:35077-2013,country:ca/province:on,Q3357747
35078,Ottawa—Vanier,Ottawa—Vanier,35,Ontario,country:ca/ed:35078-2013,country:ca/province:on,Q3357766
35079,Ottawa West—Nepean,Ottawa-Ouest—Nepean,35,Ontario,country:ca/ed:35079-2013,country:ca/province:on,Q3357746
35080,Oxford,Oxford,35,Ontario,country:ca/ed:35080-2013,country:ca/province:on,Q3359048
35081,Parkdale—High Park,Parkdale—High Park,35,Ontario,country:ca/ed:35081-2013,country:ca/province:on,Q3365449
35082,Parry Sound—Muskoka,Parry Sound—Muskoka,35,Ontario,country:ca/ed:35082-2013,country:ca/province:on,Q3366038
35083,Perth—Wellington,Perth—Wellington,35,Ontario,country:ca/ed:35083-2013,country:ca/province:on,Q3376177
35084,Peterborough—Kawartha,Peterborough—Kawartha,35,Ontario,country:ca/ed:35084-2013,country:ca/province:on,Q3376996
35085,Pickering—Uxbridge,Pickering—Uxbridge,35,Ontario,country:ca/ed:35085-2013,country:ca/province:on,Q16977690
35086,Renfrew—Nipissing—Pembroke,Renfrew—Nipissing—Pembroke,35,Ontario,country:ca/ed:35086-2013,country:ca/province:on,Q3425442
35087,Richmond Hill,Richmond Hill,35,Ontario,country:ca/ed:35087-2013,country:ca/province:on,Q3431478
35088,Carleton,Carleton,35,Ontario,country:ca/ed:35088-2013,country:ca/province:on,Q2939078
35089,St. Catharines,St. Catharines,35,Ontario,country:ca/ed:35089-2013,country:ca/province:on,Q267841
35090,Toronto—St. Paul's,Toronto—St. Paul's,35,Ontario,country:ca/ed:35090-2013,country:ca/province:on,Q3495297
35091,Sarnia—Lambton,Sarnia—Lambton,35,Ontario,country:ca/ed:35091-2013,country:ca/province:on,Q3473661
35092,Sault Ste. Marie,Sault Ste. Marie,35,Ontario,country:ca/ed:35092-2013,country:ca/province:on,Q3474220
35093,Scarborough—Agincourt,Scarborough—Agincourt,35,Ontario,country:ca/ed:35093-2013,country:ca/province:on,Q3475169
35094,Scarborough Centre,Scarborough-Centre,35,Ontario,country:ca/ed:35094-2013,country:ca/province:on,Q3475163
35095,Scarborough—Guildwood,Scarborough—Guildwood,35,Ontario,country:ca/ed:35095-2013,country:ca/province:on,Q3475168
35096,Scarborough North,Scarborough-Nord,35,Ontario,country:ca/ed:35096-2013,country:ca/province:on,Q16976145
35097,Scarborough—Rouge Park,Scarborough—Rouge Park,35,Ontario,country:ca/ed:35097-2013,country:ca/province:on,Q16979633
35098,Scarborough Southwest,Scarborough-Sud-Ouest,35,Ontario,country:ca/ed:35098-2013,country:ca/province:on,Q3475165
35099,Simcoe—Grey,Simcoe—Grey,35,Ontario,country:ca/ed:35099-2013,country:ca/province:on,Q3484122
35100,Simcoe North,Simcoe-Nord,35,Ontario,country:ca/ed:35100-2013,country:ca/province:on,Q3484116
35101,Spadina—Fort York,Spadina—Fort York,35,Ontario,country:ca/ed:35101-2013,country:ca/province:on,Q16976871
35102,Stormont—Dundas—South Glengarry,Stormont—Dundas—South Glengarry,35,Ontario,country:ca/ed:35102-2013,country:ca/province:on,Q3499856
35103,Sudbury,Sudbury,35,Ontario,country:ca/ed:35103-2013,country:ca/province:on,Q3502922
35104,Thornhill,Thornhill,35,Ontario,country:ca/ed:35104-2013,country:ca/province:on,Q3525846
35105,Thunder Bay—Rainy River,Thunder Bay—Rainy River,35,Ontario,country:ca/ed:35105-2013,country:ca/province:on,Q3526042
35106,Thunder Bay—Superior North,Thunder Bay—Supérieur-Nord,35,Ontario,country:ca/ed:35106-2013,country:ca/province:on,Q3526041
35107,Timmins—James Bay,Timmins—Baie James,35,Ontario,country:ca/ed:35107-2013,country:ca/province:on,Q3529015
35108,Toronto Centre,Toronto-Centre,35,Ontario,country:ca/ed:35108-2013,country:ca/province:on,Q921653
35109,Toronto—Danforth,Toronto—Danforth,35,Ontario,country:ca/ed:35109-2013,country:ca/province:on,Q3532395
35110,University—Rosedale,University—Rosedale,35,Ontario,country:ca/ed:35110-2013,country:ca/province:on,Q16977089
35111,Vaughan—Woodbridge,Vaughan—Woodbridge,35,Ontario,country:ca/ed:35111-2013,country:ca/province:on,Q16976825
35112,Waterloo,Waterloo,35,Ontario,country:ca/ed:35112-2013,country:ca/province:on,Q3566686
35113,Wellington—Halton Hills,Wellington—Halton Hills,35,Ontario,country:ca/ed:35113-2013,country:ca/province:on,Q3567185
35114,Whitby,Whitby,35,Ontario,country:ca/ed:35114-2013,country:ca/province:on,Q16967060
35115,Willowdale,Willowdale,35,Ontario,country:ca/ed:35115-2013,country:ca/province:on,Q3569133
35116,Windsor—Tecumseh,Windsor—Tecumseh,35,Ontario,country:ca/ed:35116-2013,country:ca/province:on,Q3569307
35117,Windsor West,Windsor-Ouest,35,Ontario,country:ca/ed:35117-2013,country:ca/province:on,Q3569303
35118,York Centre,York-Centre,35,Ontario,country:ca/ed:35118-2013,country:ca/province:on,Q3572587
35119,York—Simcoe,York—Simcoe,35,Ontario,country:ca/ed:35119-2013,country:ca/province:on,Q3572619
35120,York South—Weston,York-Sud—Weston,35,Ontario,country:ca/ed:35120-2013,country:ca/province:on,Q3572599
35121,Humber River—Black Creek,Humber River—Black Creek,35,Ontario,country:ca/ed:35121-2013,country:ca/province:on,Q3572594
46001,Brandon—Souris,Brandon—Souris,46,Manitoba,country:ca/ed:46001-2013,country:ca/province:mb,Q2923794
46002,Charleswood—St. James—Assiniboia—Headingley,Charleswood—St. James—Assiniboia—Headingley,46,Manitoba,country:ca/ed:46002-2013,country:ca/province:mb,Q2960785
46003,Churchill—Keewatinook Aski,Churchill—Keewatinook Aski,46,Manitoba,country:ca/ed:46003-2013,country:ca/province:mb,Q16958326
46004,Dauphin—Swan River—Neepawa,Dauphin—Swan River—Neepawa,46,Manitoba,country:ca/ed:46004-2013,country:ca/province:mb,Q16959462
46005,Elmwood—Transcona,Elmwood—Transcona,46,Manitoba,country:ca/ed:46005-2013,country:ca/province:mb,Q3051614
46006,Kildonan—St. Paul,Kildonan—St. Paul,46,Manitoba,country:ca/ed:46006-2013,country:ca/province:mb,Q3196587
46007,Portage—Lisgar,Portage—Lisgar,46,Manitoba,country:ca/ed:46007-2013,country:ca/province:mb,Q3398756
46008,Provencher,Provencher,46,Manitoba,country:ca/ed:46008-2013,country:ca/province:mb,Q3408277
46009,Saint Boniface—Saint Vital,Saint-Boniface—Saint-Vital,46,Manitoba,country:ca/ed:46009-2013,country:ca/province:mb,Q16983980
46010,Selkirk—Interlake—Eastman,Selkirk—Interlake—Eastman,46,Manitoba,country:ca/ed:46010-2013,country:ca/province:mb,Q16978916
46011,Winnipeg Centre,Winnipeg-Centre,46,Manitoba,country:ca/ed:46011-2013,country:ca/province:mb,Q3569365
46012,Winnipeg North,Winnipeg-Nord,46,Manitoba,country:ca/ed:46012-2013,country:ca/province:mb,Q3569367
46013,Winnipeg South,Winnipeg-Sud,46,Manitoba,country:ca/ed:46013-2013,country:ca/province:mb,Q3569370
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,46,Manitoba,country:ca/ed:46014-2013,country:ca/province:mb,Q3569366
47001,Battlefords—Lloydminster,Battlefords—Lloydminster,47,Saskatchewan,country:ca/ed:47001-2013,country:ca/province:sk,Q2891841
47002,Cypress Hills—Grasslands,Cypress Hills—Grasslands,47,Saskatchewan,country:ca/ed:47002-2013,country:ca/province:sk,Q3008864
47003,Desnethé—Missinippi—Churchill River,Desnethé—Missinippi—Rivière Churchill,47,Saskatchewan,country:ca/ed:47003-2013,country:ca/province:sk,Q3024533
47004,Carlton Trail—Eagle Creek,Sentier Carlton—Eagle Creek,47,Saskatchewan,country:ca/ed:47004-2013,country:ca/province:sk,Q16985258
47005,Moose Jaw—Lake Centre—Lanigan,Moose Jaw—Lake Centre—Lanigan,47,Saskatchewan,country:ca/ed:47005-2013,country:ca/province:sk,Q17037560
47006,Prince Albert,Prince Albert,47,Saskatchewan,country:ca/ed:47006-2013,country:ca/province:sk,Q3403304
47007,Regina—Lewvan,Regina—Lewvan,47,Saskatchewan,country:ca/ed:47007-2013,country:ca/province:sk,Q16990355
47008,Regina—Qu'Appelle,Regina—Qu'Appelle,47,Saskatchewan,country:ca/ed:47008-2013,country:ca/province:sk,Q3423524
47009,Regina—Wascana,Regina—Wascana,47,Saskatchewan,country:ca/ed:47009-2013,country:ca/province:sk,Q3423526
47010,Saskatoon—Grasswood,Saskatoon—Grasswood,47,Saskatchewan,country:ca/ed:47010-2013,country:ca/province:sk,Q16990152
47011,Saskatoon—University,Saskatoon—University,47,Saskatchewan,country:ca/ed:47011-2013,country:ca/province:sk,Q16979773
47012,Saskatoon West,Saskatoon-Ouest,47,Saskatchewan,country:ca/ed:47012-2013,country:ca/province:sk,Q3473801
47013,Souris—Moose Mountain,Souris—Moose Mountain,47,Saskatchewan,country:ca/ed:47013-2013,country:ca/province:sk,Q3491962
47014,Yorkton—Melville,Yorkton—Melville,47,Saskatchewan,country:ca/ed:47014-2013,country:ca/province:sk,Q3572613
48001,Banff—Airdrie,Banff—Airdrie,48,Alberta,country:ca/ed:48001-2013,country:ca/province:ab,Q16837639
48002,Battle River—Crowfoot,Battle River—Crowfoot,48,Alberta,country:ca/ed:48002-2013,country:ca/province:ab,Q16950705
48003,Bow River,Bow River,48,Alberta,country:ca/ed:48003-2013,country:ca/province:ab,Q2922698
48004,Calgary Centre,Calgary-Centre,48,Alberta,country:ca/ed:48004-2013,country:ca/province:ab,Q2933894
48005,Calgary Confederation,Calgary Confederation,48,Alberta,country:ca/ed:48005-2013,country:ca/province:ab,Q16850460
48006,Calgary Forest Lawn,Calgary Forest Lawn,48,Alberta,country:ca/ed:48006-2013,country:ca/province:ab,Q16850464
48007,Calgary Heritage,Calgary Heritage,48,Alberta,country:ca/ed:48007-2013,country:ca/province:ab,Q16850469
48008,Calgary Midnapore,Calgary Midnapore,48,Alberta,country:ca/ed:48008-2013,country:ca/province:ab,Q16850474
48009,Calgary Nose Hill,Calgary Nose Hill,48,Alberta,country:ca/ed:48009-2013,country:ca/province:ab,Q2933912
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,48,Alberta,country:ca/ed:48010-2013,country:ca/province:ab,Q16850493
48011,Calgary Shepard,Calgary Shepard,48,Alberta,country:ca/ed:48011-2013,country:ca/province:ab,Q16850498
48012,Calgary Signal Hill,Calgary Signal Hill,48,Alberta,country:ca/ed:48012-2013,country:ca/province:ab,Q16954913
48013,Calgary Skyview,Calgary Skyview,48,Alberta,country:ca/ed:48013-2013,country:ca/province:ab,Q16850507
48014,Edmonton Centre,Edmonton-Centre,48,Alberta,country:ca/ed:48014-2013,country:ca/province:ab,Q3048042
48015,Edmonton Griesbach,Edmonton Griesbach,48,Alberta,country:ca/ed:48015-2013,country:ca/province:ab,Q16966780
48016,Edmonton Manning,Edmonton Manning,48,Alberta,country:ca/ed:48016-2013,country:ca/province:ab,Q16966789
48017,Edmonton Mill Woods,Edmonton Mill Woods,48,Alberta,country:ca/ed:48017-2013,country:ca/province:ab,Q16974434
48018,Edmonton Riverbend,Edmonton Riverbend,48,Alberta,country:ca/ed:48018-2013,country:ca/province:ab,Q16966795
48019,Edmonton Strathcona,Edmonton Strathcona,48,Alberta,country:ca/ed:48019-2013,country:ca/province:ab,Q3048071
48020,Edmonton West,Edmonton-Ouest,48,Alberta,country:ca/ed:48020-2013,country:ca/province:ab,Q3048051
48021,Edmonton—Wetaskiwin,Edmonton—Wetaskiwin,48,Alberta,country:ca/ed:48021-2013,country:ca/province:ab,Q16966798
48022,Foothills,Foothills,48,Alberta,country:ca/ed:48022-2013,country:ca/province:ab,Q16977569
48023,Fort McMurray—Cold Lake,Fort McMurray—Cold Lake,48,Alberta,country:ca/ed:48023-2013,country:ca/province:ab,Q16977823
48024,Grande Prairie—Mackenzie,Grande Prairie—Mackenzie,48,Alberta,country:ca/ed:48024-2013,country:ca/province:ab,Q16982509
48025,Lakeland,Lakeland,48,Alberta,country:ca/ed:48025-2013,country:ca/province:ab,Q3216473
48026,Lethbridge,Lethbridge,48,Alberta,country:ca/ed:48026-2013,country:ca/province:ab,Q3236894
48027,Medicine Hat—Cardston—Warner,Medicine Hat—Cardston—Warner,48,Alberta,country:ca/ed:48027-2013,country:ca/province:ab,Q767079
48028,Peace River—Westlock,Peace River—Westlock,48,Alberta,country:ca/ed:48028-2013,country:ca/province:ab,Q17092367
48029,Red Deer—Mountain View,Red Deer—Mountain View,48,Alberta,country:ca/ed:48029-2013,country:ca/province:ab,Q16999879
48030,Red Deer—Lacombe,Red Deer—Lacombe,48,Alberta,country:ca/ed:48030-2013,country:ca/province:ab,Q16986104
48031,St. Albert—Edmonton,St. Albert—Edmonton,48,Alberta,country:ca/ed:48031-2013,country:ca/province:ab,Q16977238
48032,Sherwood Park—Fort Saskatchewan,Sherwood Park—Fort Saskatchewan,48,Alberta,country:ca/ed:48032-2013,country:ca/province:ab,Q16986155
48033,Sturgeon River—Parkland,Sturgeon River—Parkland,48,Alberta,country:ca/ed:48033-2013,country:ca/province:ab,Q16977239
48034,Yellowhead,Yellowhead,48,Alberta,country:ca/ed:48034-2013,country:ca/province:ab,Q3572142
59001,Abbotsford,Abbotsford,59,British Columbia / Colombie-Britannique,country:ca/ed:59001-2013,country:ca/province:bc,Q2820842
59002,Burnaby North—Seymour,Burnaby-Nord—Seymour,59,British Columbia / Colombie-Britannique,country:ca/ed:59002-2013,country:ca/province:bc,Q16954585
59003,Burnaby South,Burnaby-Sud,59,British Columbia / Colombie-Britannique,country:ca/ed:59003-2013,country:ca/province:bc,Q16966970
59004,Cariboo—Prince George,Cariboo—Prince George,59,British Columbia / Colombie-Britannique,country:ca/ed:59004-2013,country:ca/province:bc,Q2938767
59005,Central Okanagan—Similkameen—Nicola,Central Okanagan—Similkameen—Nicola,59,British Columbia / Colombie-Britannique,country:ca/ed:59005-2013,country:ca/province:bc,Q16858686
59006,Chilliwack—Hope,Chilliwack—Hope,59,British Columbia / Colombie-Britannique,country:ca/ed:59006-2013,country:ca/province:bc,Q16957671
59007,Cloverdale—Langley City,Cloverdale—Langley City,59,British Columbia / Colombie-Britannique,country:ca/ed:59007-2013,country:ca/province:bc,Q16949372
59008,Coquitlam—Port Coquitlam,Coquitlam—Port Coquitlam,59,British Columbia / Colombie-Britannique,country:ca/ed:59008-2013,country:ca/province:bc,Q16951566
59009,Courtenay—Alberni,Courtenay—Alberni,59,British Columbia / Colombie-Britannique,country:ca/ed:59009-2013,country:ca/province:bc,Q16952299
59010,Cowichan—Malahat—Langford,Cowichan—Malahat—Langford,59,British Columbia / Colombie-Britannique,country:ca/ed:59010-2013,country:ca/province:bc,Q16952399
59011,Delta,Delta,59,British Columbia / Colombie-Britannique,country:ca/ed:59011-2013,country:ca/province:bc,Q3021905
59012,Fleetwood—Port Kells,Fleetwood—Port Kells,59,British Columbia / Colombie-Britannique,country:ca/ed:59012-2013,country:ca/province:bc,Q3073517
59013,Kamloops—Thompson—Cariboo,Kamloops—Thompson—Cariboo,59,British Columbia / Colombie-Britannique,country:ca/ed:59013-2013,country:ca/province:bc,Q3192457
59014,Kelowna—Lake Country,Kelowna—Lake Country,59,British Columbia / Colombie-Britannique,country:ca/ed:59014-2013,country:ca/province:bc,Q3194929
59015,Kootenay—Columbia,Kootenay—Columbia,59,British Columbia / Colombie-Britannique,country:ca/ed:59015-2013,country:ca/province:bc,Q3198835
59016,Langley—Aldergrove,Langley—Aldergrove,59,British Columbia / Colombie-Britannique,country:ca/ed:59016-2013,country:ca/province:bc,Q16999141
59017,Mission—Matsqui—Fraser Canyon,Mission—Matsqui—Fraser Canyon,59,British Columbia / Colombie-Britannique,country:ca/ed:59017-2013,country:ca/province:bc,Q16999752
59018,Nanaimo—Ladysmith,Nanaimo—Ladysmith,59,British Columbia / Colombie-Britannique,country:ca/ed:59018-2013,country:ca/province:bc,Q16979413
59019,New Westminster—Burnaby,New Westminster—Burnaby,59,British Columbia / Colombie-Britannique,country:ca/ed:59019-2013,country:ca/province:bc,Q681292
59020,North Okanagan—Shuswap,North Okanagan—Shuswap,59,British Columbia / Colombie-Britannique,country:ca/ed:59020-2013,country:ca/province:bc,Q512649
59021,North Vancouver,North Vancouver,59,British Columbia / Colombie-Britannique,country:ca/ed:59021-2013,country:ca/province:bc,Q3344177
59022,Pitt Meadows—Maple Ridge,Pitt Meadows—Maple Ridge,59,British Columbia / Colombie-Britannique,country:ca/ed:59022-2013,country:ca/province:bc,Q16979770
59023,Port Moody—Coquitlam,Port Moody—Coquitlam,59,British Columbia / Colombie-Britannique,country:ca/ed:59023-2013,country:ca/province:bc,Q3398378
59024,Prince George—Peace River—Northern Rockies,Prince George—Peace River—Northern Rockies,59,British Columbia / Colombie-Britannique,country:ca/ed:59024-2013,country:ca/province:bc,Q3403325
59025,Richmond Centre,Richmond-Centre,59,British Columbia / Colombie-Britannique,country:ca/ed:59025-2013,country:ca/province:bc,Q3431468
59026,Esquimalt—Saanich—Sooke,Esquimalt—Saanich—Sooke,59,British Columbia / Colombie-Britannique,country:ca/ed:59026-2013,country:ca/province:bc,Q17092809
59027,Saanich—Gulf Islands,Saanich—Gulf Islands,59,British Columbia / Colombie-Britannique,country:ca/ed:59027-2013,country:ca/province:bc,Q3460439
59028,Skeena—Bulkley Valley,Skeena—Bulkley Valley,59,British Columbia / Colombie-Britannique,country:ca/ed:59028-2013,country:ca/province:bc,Q3486212
59029,South Okanagan—West Kootenay,Okanagan-Sud—Kootenay-Ouest,59,British Columbia / Colombie-Britannique,country:ca/ed:59029-2013,country:ca/province:bc,Q16999989
59030,South Surrey—White Rock,Surrey-Sud—White Rock,59,British Columbia / Colombie-Britannique,country:ca/ed:59030-2013,country:ca/province:bc,Q16999811
59031,Steveston—Richmond East,Steveston—Richmond-Est,59,British Columbia / Colombie-Britannique,country:ca/ed:59031-2013,country:ca/province:bc,Q16999753
59032,Surrey Centre,Surrey-Centre,59,British Columbia / Colombie-Britannique,country:ca/ed:59032-2013,country:ca/province:bc,Q16977199
59033,Surrey—Newton,Surrey—Newton,59,British Columbia / Colombie-Britannique,country:ca/ed:59033-2013,country:ca/province:bc,Q16979255
59034,Vancouver Centre,Vancouver-Centre,59,British Columbia / Colombie-Britannique,country:ca/ed:59034-2013,country:ca/province:bc,Q3554460
59035,Vancouver East,Vancouver-Est,59,British Columbia / Colombie-Britannique,country:ca/ed:59035-2013,country:ca/province:bc,Q958124
59036,Vancouver Granville,Vancouver Granville,59,British Columbia / Colombie-Britannique,country:ca/ed:59036-2013,country:ca/province:bc,Q17101508
59037,North Island—Powell River,North Island—Powell River,59,British Columbia / Colombie-Britannique,country:ca/ed:59037-2013,country:ca/province:bc,Q3344130
59038,Vancouver Kingsway,Vancouver Kingsway,59,British Columbia / Colombie-Britannique,country:ca/ed:59038-2013,country:ca/province:bc,Q3554467
59039,Vancouver Quadra,Vancouver Quadra,59,British Columbia / Colombie-Britannique,country:ca/ed:59039-2013,country:ca/province:bc,Q3554466
59040,Vancouver South,Vancouver-Sud,59,British Columbia / Colombie-Britannique,country:ca/ed:59040-2013,country:ca/province:bc,Q3554462
59041,Victoria,Victoria,59,British Columbia / Colombie-Britannique,country:ca/ed:59041-2013,country:ca/province:bc,Q3557672
59042,West Vancouver—Sunshine Coast—Sea to Sky Country,West Vancouver—Sunshine Coast—Sea to Sky Country,59,British Columbia / Colombie-Britannique,country:ca/ed:59042-2013,country:ca/province:bc,Q3567450
60001,Yukon,Yukon,60,Yukon,country:ca/ed:60001-2013,country:ca/territory:yt,Q3573173
61001,Northwest Territories,Territoires du Nord-Ouest,61,Northwest Territories / Territoires du Nord-Ouest,country:ca/ed:61001-2013,country:ca/territory:nt,Q606515
62001,Nunavut,Nunavut,62,Nunavut,country:ca/ed:62001-2013,country:ca/territory:nu,Q584337
