OBJECTID_1,OBJECTID,DIST_ID,PED_Name_E,WIKIDATA,PED_Name_F,Shape_Leng,Shape_Le_1,Shape_Area,MS_FB,MS_FB_PARE
2,2,15,Shediac-Beaubassin-Cap-Pel,Q3481698,,186719.54708200000,166096.02644300001,324578450.16200000048,country:ca/province:nb/ed:15,country:ca/province:nb
3,3,16,Memramcook-Tantramar,Q3515350,,445166.62154600001,328809.37421699998,1456698202.89000010490,country:ca/province:nb/ed:16,country:ca/province:nb
4,4,18,Moncton East,Q17090780,Moncton-Est,70225.28139590002,70279.61975920000,207736650.33399999142,country:ca/province:nb/ed:18,country:ca/province:nb
5,5,19,Moncton Centre,Q17090768,Moncton-Centre,14587.17645280000,14587.17645280000,12042128.39269999787,country:ca/province:nb/ed:19,country:ca/province:nb
6,6,20,Moncton South,Q47462432,Moncton-Sud,16403.38072760000,16403.37725690000,11762638.09129999951,country:ca/province:nb/ed:20,country:ca/province:nb
7,7,21,Moncton Northwest,Q47462543,Moncton-Nord-Ouest,77902.66626950000,78068.94547380002,267461740.86500000954,country:ca/province:nb/ed:21,country:ca/province:nb
8,8,23,Riverview,Q3433524,,21121.41776010000,21121.41776010000,18449994.65909999982,country:ca/province:nb/ed:23,country:ca/province:nb
9,9,28,Quispamsis,Q964313,,29472.25840470000,29472.25840470000,38447643.45300000161,country:ca/province:nb/ed:28,country:ca/province:nb
10,10,29,Rothesay,Q3442975,,47475.09503930000,47475.09503930000,59276034.17599999905,country:ca/province:nb/ed:29,country:ca/province:nb
11,11,30,Saint John East,Q3463893,Saint John-Est,60656.75463830000,51707.13166830000,72226356.97319999337,country:ca/province:nb/ed:30,country:ca/province:nb
12,12,32,Saint John Harbour,Q3463898,,26279.37093980000,26279.37093980000,7217820.68006999977,country:ca/province:nb/ed:32,country:ca/province:nb
13,13,40,Fredericton South,Q16981383,Fredericton-Sud,14014.65527990000,14014.65522990000,9693741.84208999947,country:ca/province:nb/ed:40,country:ca/province:nb
14,14,49,Madawaska Les Lacs-Edmundston,Q3275450,Madawaska-Les-Lacs-Edmundston,277911.83295100002,278112.35475200001,1764258864.69000005722,country:ca/province:nb/ed:49,country:ca/province:nb
15,15,45,Carleton,Q16256540,,207729.36574700000,207729.36574700000,1541530330.94000005722,country:ca/province:nb/ed:45,country:ca/province:nb
16,16,36,Charlotte-Campobello,Q2960928,,497944.06768199999,497944.06768199999,2140661453.03999996185,country:ca/province:nb/ed:36,country:ca/province:nb
17,17,6,Caraquet,Q2937885,,224188.84533899999,224188.84533899999,472270114.13899999857,country:ca/province:nb/ed:6,country:ca/province:nb
19,19,24,Albert,Q2830904,,294267.45672199997,266239.94609099999,1693051953.83000016212,country:ca/province:nb/ed:24,country:ca/province:nb
20,20,22,Moncton Southwest,Q17090787,Moncton-Sud-Ouest,74177.81185420000,74343.71704530000,108935562.89100001752,country:ca/province:nb/ed:22,country:ca/province:nb
21,21,31,Portland-Simonds,Q3463902,,50837.54890910000,44958.72634110000,35780655.59220000356,country:ca/province:nb/ed:31,country:ca/province:nb
22,22,43,Fredericton West-Hanwell,Q16981385,Fredericton-Ouest-Hanwell,148844.84242400000,136199.78556200000,453669116.58600008488,country:ca/province:nb/ed:43,country:ca/province:nb
23,23,8,Tracadie-Sheila,Q3536142,,217403.68191700001,217403.68191700001,466651468.78600001335,country:ca/province:nb/ed:8,country:ca/province:nb
24,24,46,Carleton-Victoria,Q16955881,,325109.12074500002,325109.12074500002,4738569975.97999954224,country:ca/province:nb/ed:46,country:ca/province:nb
25,26,37,Oromocto-Lincoln,Q17052880,,195818.23991100001,188502.10401800001,1152340625.48000001907,country:ca/province:nb/ed:37,country:ca/province:nb
26,27,5,Bathurst East-Nepisiguit-Saint-Isidore,Q16253549,Bathurst-Est-Nepisiguit-Saint-Isidore,285142.03225900000,285142.03225900000,2394538503.30999994278,country:ca/province:nb/ed:5,country:ca/province:nb
27,28,44,Carleton-York,Q17059436,,560992.97877399996,552779.42303299997,4106008284.32000017166,country:ca/province:nb/ed:44,country:ca/province:nb
28,29,12,Kent North,Q3439665,Kent-Nord,712078.80376299995,516062.64726200001,2607103363.07000017166,country:ca/province:nb/ed:12,country:ca/province:nb
29,30,33,Saint John Lancaster,Q3463899,,71729.91263960002,54984.40772960000,26979065.22529999912,country:ca/province:nb/ed:33,country:ca/province:nb
30,31,35,Fundy-The Isles-Saint John West,Q2960932,Fundy- Les-les- Saint John-Ouest,814064.16038599994,810131.98529099999,1548037832.20000004768,country:ca/province:nb/ed:35,country:ca/province:nb
31,32,26,Sussex-Fundy-St. Martins,Q3197087,,269964.45773000002,266695.02510299999,2055331847.53999996185,country:ca/province:nb/ed:26,country:ca/province:nb
32,33,39,New Maryland-Sunbury,Q281399,,228784.42164900000,227197.22059200000,1913094427.39000010490,country:ca/province:nb/ed:39,country:ca/province:nb
33,34,2,Campbellton-Dalhousie,Q16256328,,134065.91405399999,134055.40068100000,141479260.29699999094,country:ca/province:nb/ed:2,country:ca/province:nb
34,35,3,Restigouche-Chaleur,Q3341339,,217077.71920600001,217074.85616900001,1142122067.33999991417,country:ca/province:nb/ed:3,country:ca/province:nb
35,36,4,Bathurst West-Beresford,Q16950560,Bathurst-Ouest-Beresford,175703.75987800001,175703.11324100001,670559090.55200004578,country:ca/province:nb/ed:4,country:ca/province:nb
36,37,9,Miramichi Bay-Neguac,Q2879404,Baie-de-Miramichi-Neguac,622001.14011299994,556368.39716499997,6135215505.94999980927,country:ca/province:nb/ed:9,country:ca/province:nb
37,38,10,Miramichi,Q17090633,,113936.85796900000,113936.85796900000,125455682.57500000298,country:ca/province:nb/ed:10,country:ca/province:nb
39,40,17,Dieppe,Q3027487,,33541.99474530000,31390.82010240000,23367189.85470000282,country:ca/province:nb/ed:17,country:ca/province:nb
40,41,25,Gagetown-Petitcodiac,Q16981570,,735018.18406000000,735018.18406000000,3931675909.90000009537,country:ca/province:nb/ed:25,country:ca/province:nb
41,42,27,Hampton,Q16983208,,187099.09536199999,154550.24753500000,547191886.48099994659,country:ca/province:nb/ed:27,country:ca/province:nb
42,43,41,Fredericton North,Q5499248,Fredericton-Nord,20912.51351910000,20912.50549840000,15968863.04010000080,country:ca/province:nb/ed:41,country:ca/province:nb
43,44,47,Victoria-La Valle,Q3113468,Victoria-La-Valle,264762.69600699999,264762.69600699999,2615975895.82999992371,country:ca/province:nb/ed:47,country:ca/province:nb
44,46,1,Restigouche West,Q7316116,Restigouche-Ouest,493305.72512000002,493295.21174699999,7944960826.00000000000,country:ca/province:nb/ed:1,country:ca/province:nb
45,47,34,Kings Centre,Q16989122,Kings-Centre,402784.22956499999,402784.22956499999,1089084514.67000007629,country:ca/province:nb/ed:34,country:ca/province:nb
46,52,7,Shippagan-Lamque-Miscou,Q3216887,,435464.06753200002,435464.06753200002,368333361.48799997568,country:ca/province:nb/ed:7,country:ca/province:nb
47,64,38,Fredericton-Grand Lake,Q16981388,,411329.79016700003,411383.25301200000,2420773390.38000011444,country:ca/province:nb/ed:38,country:ca/province:nb
48,82,48,Edmundston-Madawaska Centre,Q3048153,Edmundston-Madawaska-Centre,218908.35977099999,216651.90686300001,1301425150.36999988556,country:ca/province:nb/ed:48,country:ca/province:nb
49,86,11,Southwest Miramichi-Bay du Vin,Q3315869,Miramichi-Sud-Ouest-Baie-du-Vin,655244.92894300004,611810.45599599998,7040242582.27000045776,country:ca/province:nb/ed:11,country:ca/province:nb
54,1,13,Kent South,Q3195267,Kent-Sud,349105.84578999999,309022.69047799997,2297086061.11000013351,country:ca/province:nb/ed:13,country:ca/province:nb
55,39,14,Shediac Bay-Dieppe,Q17093013,Baie-de-Shediac-Dieppe,156178.86290700000,156178.86290700000,361604386.78500002623,country:ca/province:nb/ed:14,country:ca/province:nb
79,18,42,Fredericton-York,Q16981389,,309352.16848900000,309405.62331300002,2416964740.34000015259,country:ca/province:nb/ed:42,country:ca/province:nb
