CO_CEP,NM_CEP,WIKIDATA,NM_TRI_CEP,ELEC_2012,MS_FB,MS_FB_PARE
579,Abitibi-Est,Q2821645,ABITIBIEST,33261,country:ca/province:qc/ed:579,country:ca/province:qc
573,Abitibi-Ouest,Q2821647,ABITIBIOUEST,35106,country:ca/province:qc/ed:573,country:ca/province:qc
437,Acadie,Q2822230,ACADIE,48339,country:ca/province:qc/ed:437,country:ca/province:qc
373,Anjou–Louis-Riel,Q2850263,ANJOULOUISRIEL,43456,country:ca/province:qc/ed:373,country:ca/province:qc
535,Argenteuil,Q2860941,ARGENTEUIL,43902,country:ca/province:qc/ed:535,country:ca/province:qc
323,Arthabaska,Q2864904,ARTHABASKA,58158,country:ca/province:qc/ed:323,country:ca/province:qc
309,Beauce-Nord,Q2893118,BEAUCENORD,41749,country:ca/province:qc/ed:309,country:ca/province:qc
293,Beauce-Sud,Q2893119,BEAUCESUD,47758,country:ca/province:qc/ed:293,country:ca/province:qc
153,Beauharnois,Q2893182,BEAUHARNOIS,45260,country:ca/province:qc/ed:153,country:ca/province:qc
303,Bellechasse,Q2894824,BELLECHASSE,42892,country:ca/province:qc/ed:303,country:ca/province:qc
353,Berthier,Q2377768,BERTHIER,55944,country:ca/province:qc/ed:353,country:ca/province:qc
525,Bertrand,Q2899431,BERTRAND,57000,country:ca/province:qc/ed:525,country:ca/province:qc
473,Blainville,Q2905727,BLAINVILLE,57627,country:ca/province:qc/ed:473,country:ca/province:qc
713,Bonaventure,Q2909922,BONAVENTURE,36121,country:ca/province:qc/ed:713,country:ca/province:qc
243,Borduas,Q2910794,BORDUAS,55933,country:ca/province:qc/ed:243,country:ca/province:qc
431,Bourassa-Sauvé,Q726528,BOURASSASAUVE,47036,country:ca/province:qc/ed:431,country:ca/province:qc
377,Bourget,Q2922329,BOURGET,48998,country:ca/province:qc/ed:377,country:ca/province:qc
129,Brome-Missisquoi,Q2925997,BROMEMISSISQUOI,55304,country:ca/province:qc/ed:129,country:ca/province:qc
193,Chambly,Q2948099,CHAMBLY,45554,country:ca/province:qc/ed:193,country:ca/province:qc
593,Champlain,Q2955903,CHAMPLAIN,48799,country:ca/province:qc/ed:593,country:ca/province:qc
559,Chapleau,Q2957545,CHAPLEAU,54425,country:ca/province:qc/ed:559,country:ca/province:qc
619,Charlesbourg,Q2960772,CHARLESBOURG,52467,country:ca/province:qc/ed:619,country:ca/province:qc
679,Charlevoix–Côte-de-Beaupré,Q2960791,CHARLEVOIXCOTEDEBEAUPRE,50717,country:ca/province:qc/ed:679,country:ca/province:qc
173,Châteauguay,Q2971888,CHATEAUGUAY,49347,country:ca/province:qc/ed:173,country:ca/province:qc
613,Chauveau,Q2961704,CHAUVEAU,56759,country:ca/province:qc/ed:613,country:ca/province:qc
763,Chicoutimi,Q2963419,CHICOUTIMI,46727,country:ca/province:qc/ed:763,country:ca/province:qc
441,Chomedey,Q2964413,CHOMEDEY,56933,country:ca/province:qc/ed:441,country:ca/province:qc
659,Chutes-de-la-Chaudière,Q2967723,CHUTESDELACHAUDIERE,54662,country:ca/province:qc/ed:659,country:ca/province:qc
683,Côte-du-Sud,Q3010622,COTEDUSUD,50617,country:ca/province:qc/ed:683,country:ca/province:qc
433,Crémazie,Q3006259,CREMAZIE,45887,country:ca/province:qc/ed:433,country:ca/province:qc
403,D'Arcy-McGee,Q3010893,DARCYMCGEE,40280,country:ca/province:qc/ed:403,country:ca/province:qc
483,Deux-Montagnes,Q3024863,DEUXMONTAGNES,47154,country:ca/province:qc/ed:483,country:ca/province:qc
273,Drummond–Bois-Francs,Q3040122,DRUMMONDBOISFRANCS,49572,country:ca/province:qc/ed:273,country:ca/province:qc
759,Dubuc,Q3040650,DUBUC,39712,country:ca/province:qc/ed:759,country:ca/province:qc
745,Duplessis,Q3041436,DUPLESSIS,38407,country:ca/province:qc/ed:745,country:ca/province:qc
443,Fabre,Q3063783,FABRE,47199,country:ca/province:qc/ed:443,country:ca/province:qc
731,Gaspé,Q3098859,GASPE,31148,country:ca/province:qc/ed:731,country:ca/province:qc
557,Gatineau,Q3099274,GATINEAU,56114,country:ca/province:qc/ed:557,country:ca/province:qc
381,Gouin,Q3111624,GOUIN,43608,country:ca/province:qc/ed:381,country:ca/province:qc
133,Granby,Q3113419,GRANBY,49786,country:ca/province:qc/ed:133,country:ca/province:qc
481,Groulx,Q3117289,GROULX,56228,country:ca/province:qc/ed:481,country:ca/province:qc
387,Hochelaga-Maisonneuve,Q3138924,HOCHELAGAMAISONNEUVE,40907,country:ca/province:qc/ed:387,country:ca/province:qc
561,Hull,Q3143016,HULL,51663,country:ca/province:qc/ed:561,country:ca/province:qc
149,Huntingdon,Q2382048,HUNTINGDON,41495,country:ca/province:qc/ed:149,country:ca/province:qc
143,Iberville,Q600540,IBERVILLE,46119,country:ca/province:qc/ed:143,country:ca/province:qc
733,Îles-de-la-Madeleine,Q3593522,ILESDELAMADELEINE,10930,country:ca/province:qc/ed:733,country:ca/province:qc
409,Jacques-Cartier,Q3157893,JACQUESCARTIER,43861,country:ca/province:qc/ed:409,country:ca/province:qc
623,Jean-Lesage,Q3166585,JEANLESAGE,46448,country:ca/province:qc/ed:623,country:ca/province:qc
429,Jeanne-Mance–Viger,Q3175932,JEANNEMANCEVIGER,48069,country:ca/province:qc/ed:429,country:ca/province:qc
643,Jean-Talon,Q3170034,JEANTALON,45317,country:ca/province:qc/ed:643,country:ca/province:qc
269,Johnson,Q3183003,JOHNSON,56357,country:ca/province:qc/ed:269,country:ca/province:qc
361,Joliette,Q3183136,JOLIETTE,56340,country:ca/province:qc/ed:361,country:ca/province:qc
773,Jonquière,Q3183626,JONQUIERE,45294,country:ca/province:qc/ed:773,country:ca/province:qc
545,Labelle,Q3214319,LABELLE,47369,country:ca/province:qc/ed:545,country:ca/province:qc
779,Lac-Saint-Jean,Q3214651,LACSAINTJEAN,42721,country:ca/province:qc/ed:779,country:ca/province:qc
371,LaFontaine,Q3206243,LAFONTAINE,40960,country:ca/province:qc/ed:371,country:ca/province:qc
603,La Peltrie,Q3211449,LAPELTRIE,53974,country:ca/province:qc/ed:603,country:ca/province:qc
203,La Pinière,Q3211644,LAPINIERE,58360,country:ca/province:qc/ed:203,country:ca/province:qc
209,Laporte,Q3217775,LAPORTE,45754,country:ca/province:qc/ed:209,country:ca/province:qc
183,La Prairie,Q3211885,LAPRAIRIE,41728,country:ca/province:qc/ed:183,country:ca/province:qc
363,L'Assomption,Q3202478,LASSOMPTION,51210,country:ca/province:qc/ed:363,country:ca/province:qc
423,Laurier-Dorion,Q3219660,LAURIERDORION,46419,country:ca/province:qc/ed:423,country:ca/province:qc
439,Laval-des-Rapides,Q3219748,LAVALDESRAPIDES,53773,country:ca/province:qc/ed:439,country:ca/province:qc
583,Laviolette,Q3219830,LAVIOLETTE,35793,country:ca/province:qc/ed:583,country:ca/province:qc
663,Lévis,Q286850,LEVIS,46455,country:ca/province:qc/ed:663,country:ca/province:qc
289,Lotbinière-Frontenac,Q3259964,LOTBINIEREFRONTENAC,53843,country:ca/province:qc/ed:289,country:ca/province:qc
653,Louis-Hébert,Q3260600,LOUISHEBERT,44263,country:ca/province:qc/ed:653,country:ca/province:qc
399,Marguerite-Bourgeoys,Q261059,MARGUERITEBOURGEOYS,51493,country:ca/province:qc/ed:399,country:ca/province:qc
213,Marie-Victorin,Q3292298,MARIEVICTORIN,46478,country:ca/province:qc/ed:213,country:ca/province:qc
407,Marquette,Q3294760,MARQUETTE,44812,country:ca/province:qc/ed:407,country:ca/province:qc
349,Maskinongé,Q3297286,MASKINONGE,47278,country:ca/province:qc/ed:349,country:ca/province:qc
465,Masson,Q3297801,MASSON,49058,country:ca/province:qc/ed:465,country:ca/province:qc
711,Matane-Matapédia,Q3298209,MATANEMATAPEDIA,47613,country:ca/province:qc/ed:711,country:ca/province:qc
103,Mégantic,Q3332790,MEGANTIC,38548,country:ca/province:qc/ed:103,country:ca/province:qc
383,Mercier,Q3306380,MERCIER,40069,country:ca/province:qc/ed:383,country:ca/province:qc
451,Mille-Îles,Q3314264,MILLEILES,41596,country:ca/province:qc/ed:451,country:ca/province:qc
495,Mirabel,Q3315793,MIRABEL,57581,country:ca/province:qc/ed:495,country:ca/province:qc
233,Montarville,Q3322449,MONTARVILLE,51772,country:ca/province:qc/ed:233,country:ca/province:qc
673,Montmorency,Q3095559,MONTMORENCY,54942,country:ca/province:qc/ed:673,country:ca/province:qc
419,Mont-Royal,Q3321617,MONTROYAL,41431,country:ca/province:qc/ed:419,country:ca/province:qc
411,Nelligan,Q3337918,NELLIGAN,56909,country:ca/province:qc/ed:411,country:ca/province:qc
329,Nicolet-Bécancour,Q3341152,NICOLETBECANCOUR,39304,country:ca/province:qc/ed:329,country:ca/province:qc
401,Notre-Dame-de-Grâce,Q3344589,NOTREDAMEDEGRACE,39652,country:ca/province:qc/ed:401,country:ca/province:qc
123,Orford,Q3355914,ORFORD,40443,country:ca/province:qc/ed:123,country:ca/province:qc
421,Outremont,Q3358665,OUTREMONT,39022,country:ca/province:qc/ed:421,country:ca/province:qc
553,Papineau,Q3362911,PAPINEAU,56794,country:ca/province:qc/ed:553,country:ca/province:qc
369,Pointe-aux-Trembles,Q3393517,POINTEAUXTREMBLES,40691,country:ca/province:qc/ed:369,country:ca/province:qc
563,Pontiac,Q3397735,PONTIAC,48697,country:ca/province:qc/ed:563,country:ca/province:qc
599,Portneuf,Q3399332,PORTNEUF,40339,country:ca/province:qc/ed:599,country:ca/province:qc
753,René-Lévesque,Q3425708,RENELEVESQUE,34575,country:ca/province:qc/ed:753,country:ca/province:qc
367,Repentigny,Q3427228,REPENTIGNY,50547,country:ca/province:qc/ed:367,country:ca/province:qc
253,Richelieu,Q3431420,RICHELIEU,44088,country:ca/province:qc/ed:253,country:ca/province:qc
283,Richmond,Q3431469,RICHMOND,57423,country:ca/province:qc/ed:283,country:ca/province:qc
703,Rimouski,Q2424346,RIMOUSKI,44073,country:ca/province:qc/ed:703,country:ca/province:qc
699,Rivière-du-Loup–Témiscouata,Q3433607,RIVIEREDULOUPTEMISCOUATA,50795,country:ca/province:qc/ed:699,country:ca/province:qc
413,Robert-Baldwin,Q3434356,ROBERTBALDWIN,54033,country:ca/province:qc/ed:413,country:ca/province:qc
783,Roberval,Q2381824,ROBERVAL,45012,country:ca/province:qc/ed:783,country:ca/province:qc
379,Rosemont,Q9648145,ROSEMONT,51073,country:ca/province:qc/ed:379,country:ca/province:qc
515,Rousseau,Q3443437,ROUSSEAU,60795,country:ca/province:qc/ed:515,country:ca/province:qc
567,Rouyn-Noranda–Témiscamingue,Q3445512,ROUYNNORANDATEMISCAMINGUE,44179,country:ca/province:qc/ed:567,country:ca/province:qc
111,Saint-François,Q3462187,SAINTFRANCOIS,55274,country:ca/province:qc/ed:111,country:ca/province:qc
393,Saint-Henri–Sainte-Anne,Q3462395,SAINTHENRISAINTANNE,53934,country:ca/province:qc/ed:393,country:ca/province:qc
263,Saint-Hyacinthe,Q3462431,SAINTHYACINTHE,57142,country:ca/province:qc/ed:263,country:ca/province:qc
189,Saint-Jean,Q3462578,SAINTJEAN,58282,country:ca/province:qc/ed:189,country:ca/province:qc
505,Saint-Jérôme,Q3462678,SAINTJEROME,54345,country:ca/province:qc/ed:505,country:ca/province:qc
417,Saint-Laurent,Q3462722,SAINTLAURENT,53585,country:ca/province:qc/ed:417,country:ca/province:qc
389,Sainte-Marie–Saint-Jacques,Q3464370,SAINTMARIESAINTJACQUES,42283,country:ca/province:qc/ed:389,country:ca/province:qc
343,Saint-Maurice,Q3462965,SAINTMAURICE,36598,country:ca/province:qc/ed:343,country:ca/province:qc
447,Sainte-Rose,Q3464415,SAINTROSE,49539,country:ca/province:qc/ed:447,country:ca/province:qc
177,Sanguinet,Q3472258,SANGUINET,38464,country:ca/province:qc/ed:177,country:ca/province:qc
113,Sherbrooke,Q3481912,SHERBROOKE,48799,country:ca/province:qc/ed:113,country:ca/province:qc
163,Soulanges,Q3491636,SOULANGES,46809,country:ca/province:qc/ed:163,country:ca/province:qc
223,Taillon,Q3514032,TAILLON,50864,country:ca/province:qc/ed:223,country:ca/province:qc
633,Taschereau,Q3515928,TASCHEREAU,49350,country:ca/province:qc/ed:633,country:ca/province:qc
453,Terrebonne,Q3518684,TERREBONNE,54100,country:ca/province:qc/ed:453,country:ca/province:qc
333,Trois-Rivières,Q3539917,TROISRIVIERES,43279,country:ca/province:qc/ed:333,country:ca/province:qc
793,Ungava,Q3549908,UNGAVA,26098,country:ca/province:qc/ed:793,country:ca/province:qc
229,Vachon,Q3553117,VACHON,48326,country:ca/province:qc/ed:229,country:ca/province:qc
639,Vanier-Les Rivières,Q3554586,VANIERLESRIVIERES,55380,country:ca/province:qc/ed:639,country:ca/province:qc
169,Vaudreuil,Q788732,VAUDREUIL,56822,country:ca/province:qc/ed:169,country:ca/province:qc
249,Verchères,Q3555763,VERCHERES,56169,country:ca/province:qc/ed:249,country:ca/province:qc
397,Verdun,Q3555824,VERDUN,47694,country:ca/province:qc/ed:397,country:ca/province:qc
427,Viau,Q3556797,VIAU,40605,country:ca/province:qc/ed:427,country:ca/province:qc
449,Vimont,Q3559344,VIMONT,44122,country:ca/province:qc/ed:449,country:ca/province:qc
391,Westmount–Saint-Louis,Q3567542,WESTMOUNTSAINTLOUIS,39462,country:ca/province:qc/ed:391,country:ca/province:qc
