Con_Name,WIKIDATA,Con_Num,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
Estevan,Q5401086,11,332142.67318899999,5393020325.19999980927,country:ca/province:sk/ed:11,country:ca/province:sk
Weyburn-Big Muddy,Q7990299,59,477268.41958500003,10237814976.00000000000,country:ca/province:sk/ed:59,country:ca/province:sk
Wood River (electoral district),Q14875022,60,787051.30340199999,27500707998.50000000000,country:ca/province:sk/ed:60,country:ca/province:sk
Swift Current,Q7656032,57,30996.69959170000,28357191.59670000151,country:ca/province:sk/ed:57,country:ca/province:sk
Moose Jaw Wakamow,Q3323622,24,43386.26468810000,32563341.44359999895,country:ca/province:sk/ed:24,country:ca/province:sk
Moose Jaw North,Q14874996,23,20239.60464440000,18730864.17469999939,country:ca/province:sk/ed:23,country:ca/province:sk
Regina University,Q24191390,37,19688.87265320000,12729678.72749999911,country:ca/province:sk/ed:37,country:ca/province:sk
Regina Lakeview,Q3423460,32,14467.24032270000,7295733.70676000044,country:ca/province:sk/ed:32,country:ca/province:sk
Regina Pasqua,Q24191386,34,36801.85504400000,31719423.34540000185,country:ca/province:sk/ed:34,country:ca/province:sk
Regina Douglas Park,Q3363810,29,15422.11870840000,9578872.59126999974,country:ca/province:sk/ed:29,country:ca/province:sk
Regina Gardiner Park,Q24191384,31,14947.45057280000,6962889.57141000032,country:ca/province:sk/ed:31,country:ca/province:sk
Regina Elphinstone-Centre,Q7308465,30,12847.36424580000,9706244.91489000060,country:ca/province:sk/ed:30,country:ca/province:sk
Regina Rosemont,Q3423462,36,16245.28443710000,10516680.64800000004,country:ca/province:sk/ed:36,country:ca/province:sk
Regina Walsh Acres,Q2394580,38,11813.40731810000,5904060.90354000032,country:ca/province:sk/ed:38,country:ca/province:sk
Regina Coronation Park,Q3363804,28,11471.20363420000,6800859.03761999961,country:ca/province:sk/ed:28,country:ca/province:sk
Regina Northeast,Q7308513,33,26126.24332630000,24604230.89330000058,country:ca/province:sk/ed:33,country:ca/province:sk
Regina Rochdale,Q24191388,35,22369.68597870000,14120229.37109999917,country:ca/province:sk/ed:35,country:ca/province:sk
Moosomin,Q6908700,25,719340.23500999995,11217751957.70000076294,country:ca/province:sk/ed:25,country:ca/province:sk
Lumsden-Morse,Q24191361,18,848453.80926000001,13308092914.79999923706,country:ca/province:sk/ed:18,country:ca/province:sk
Regina Wascana Plains,Q7308554,39,201371.86996300000,791913951.28699994087,country:ca/province:sk/ed:39,country:ca/province:sk
Indian Head-Milestone,Q6020408,13,489038.48127400002,5743491908.69999980927,country:ca/province:sk/ed:13,country:ca/province:sk
Cypress Hills,Q5200338,10,779894.44533599995,29521395793.20000076294,country:ca/province:sk/ed:10,country:ca/province:sk
Yorkton,Q8055786,61,42445.60333660000,42847239.67419999838,country:ca/province:sk/ed:61,country:ca/province:sk
Melville-Saltcoats,Q6813848,22,467254.81300099997,6714815210.39999961853,country:ca/province:sk/ed:22,country:ca/province:sk
Last Mountain-Touchwood,Q3218399,16,610120.14589699998,10875360137.70000076294,country:ca/province:sk/ed:16,country:ca/province:sk
Arm River,Q4792462,1,810368.68187800003,20349105830.29999923706,country:ca/province:sk/ed:1,country:ca/province:sk
Saskatoon Eastview,Q7425656,45,13482.96996650000,6748539.49036999978,country:ca/province:sk/ed:45,country:ca/province:sk
Saskatoon Southeast,Q7425683,52,16209.29939110000,8512559.94672000036,country:ca/province:sk/ed:52,country:ca/province:sk
Saskatoon Churchill-Wildwood,Q24191363,44,13033.85447340000,6054948.52465999965,country:ca/province:sk/ed:44,country:ca/province:sk
Saskatoon Riversdale,Q7425676,50,20116.29766150000,14802271.98609999940,country:ca/province:sk/ed:50,country:ca/province:sk
Saskatoon Nutana,Q7425668,49,14932.10762140000,7194327.48844000045,country:ca/province:sk/ed:49,country:ca/province:sk
Rosetown-Elrose,Q14875009,40,648369.27128400002,17117085263.89999961853,country:ca/province:sk/ed:40,country:ca/province:sk
Saskatoon Centre,Q3473795,43,13130.62966000000,7152765.70899999980,country:ca/province:sk/ed:43,country:ca/province:sk
Saskatoon University,Q7425689,54,17084.08025830000,12355741.22690000013,country:ca/province:sk/ed:54,country:ca/province:sk
Saskatoon Westview,Q24191380,55,14775.67004230000,8095863.52376999985,country:ca/province:sk/ed:55,country:ca/province:sk
Saskatoon Fairview,Q3473798,46,26513.41036340000,28303911.83390000090,country:ca/province:sk/ed:46,country:ca/province:sk
Saskatoon Meewasin,Q3473800,47,15187.74323490000,8631215.93927999958,country:ca/province:sk/ed:47,country:ca/province:sk
Saskatoon Willowgrove,Q24191382,56,29709.22144650000,40287864.29779999703,country:ca/province:sk/ed:56,country:ca/province:sk
Saskatoon Silverspring-Sutherland,Q24191365,51,26682.32711240000,20863415.53409999982,country:ca/province:sk/ed:51,country:ca/province:sk
Saskatoon Northwest,Q7425667,48,36835.67337960000,36412560.54819999635,country:ca/province:sk/ed:48,country:ca/province:sk
Saskatoon Stonebridge-Dakota,Q24191367,53,272679.59736299998,2484364419.07999992371,country:ca/province:sk/ed:53,country:ca/province:sk
Martensville-Warman,Q24191359,19,124196.32190800000,474973442.66100001335,country:ca/province:sk/ed:19,country:ca/province:sk
Canora-Pelly,Q5033449,6,482913.25676199998,11095302524.89999961853,country:ca/province:sk/ed:6,country:ca/province:sk
Humboldt-Watrous,Q24191357,12,363872.15239300003,6561186874.27999973297,country:ca/province:sk/ed:12,country:ca/province:sk
Kindersley,Q6410591,15,607240.34819000005,16912968621.60000038147,country:ca/province:sk/ed:15,country:ca/province:sk
The Battlefords,Q7715914,58,60798.85011450000,146895309.82600000501,country:ca/province:sk/ed:58,country:ca/province:sk
Kelvington-Wadena,Q6386771,14,554453.00976599997,15052168199.79999923706,country:ca/province:sk/ed:14,country:ca/province:sk
Prince Albert Carlton,Q944820,26,21366.07166730000,14901974.39990000054,country:ca/province:sk/ed:26,country:ca/province:sk
Prince Albert Northcote,Q3403303,27,58646.41895880000,54931761.11789999902,country:ca/province:sk/ed:27,country:ca/province:sk
Batoche,Q4869450,3,479806.88617999997,8406242953.93999958038,country:ca/province:sk/ed:3,country:ca/province:sk
Melfort,Q3305031,21,453152.32007800002,7855948801.93999958038,country:ca/province:sk/ed:21,country:ca/province:sk
Cut Knife-Turtleford,Q5196636,9,534271.48465500004,11124181939.79999923706,country:ca/province:sk/ed:9,country:ca/province:sk
Saskatchewan Rivers,Q7425614,42,842508.55862200004,18220823097.59999847412,country:ca/province:sk/ed:42,country:ca/province:sk
Meadow Lake,Q3215052,20,724721.50102800003,17080912583.50000000000,country:ca/province:sk/ed:20,country:ca/province:sk
Lloydminster,Q6662843,17,502458.14415200002,6168600901.60999965668,country:ca/province:sk/ed:17,country:ca/province:sk
Rosthern-Shellbrook,Q7370004,41,607312.88210299995,11434186071.20000076294,country:ca/province:sk/ed:41,country:ca/province:sk
Biggar-Sask Valley,Q24191355,4,467555.07719799998,8061208164.84000015259,country:ca/province:sk/ed:4,country:ca/province:sk
Athabasca,Q4813166,2,1927706.07626000000,156561016888.00000000000,country:ca/province:sk/ed:2,country:ca/province:sk
Cumberland,Q5193828,8,1949980.99670000002,163833755232.00000000000,country:ca/province:sk/ed:8,country:ca/province:sk
Carrot River Valley,Q5046704,7,667426.85265400005,18961218014.20000076294,country:ca/province:sk/ed:7,country:ca/province:sk
Cannington,Q5032710,5,524822.97033499996,12542851842.10000038147,country:ca/province:sk/ed:5,country:ca/province:sk
